Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,2,0,1270,9,2008,0,0,2008,0
2,0,0,570,11,2007,1,13,2007,1
3,0,0,14130,12,2006,1,14,2006,1
4,2,2,620,9,2009,0,0,2009,0
5,0,0,16107,4,2015,0,0,2015,0
6,0,0,310,12,2013,0,0,2013,0
7,0,2,16107,4,2013,0,0,2013,0
8,0,0,7520,10,2014,0,0,2014,0
9,0,2,2030,8,2000,0,0,2000,0
10,0,0,3160,9,2009,0,0,2009,0
11,0,2,960,11,2011,1,1,2011,1
12,0,2,1070,1,1990,1,13,1990,1
13,3,0,310,1,1990,1,45,1990,2
14,0,0,1300,3,2014,1,40,2014,1
15,3,2,4110,3,2010,1,14,2010,1
16,0,2,3270,1,1990,0,0,1990,0
17,0,0,50,12,2005,1,26,2005,1
18,3,2,13840,6,2010,1,14,2010,1
19,0,2,3240,1,1990,1,22,1990,3
20,3,0,2340,5,2009,1,40,2009,1
21,2,2,550,10,1999,1,45,1999,1
22,0,0,1040,1,1990,1,22,1990,1
23,3,0,4060,8,2005,0,0,2005,0
24,0,2,4590,3,2000,1,40,2000,1
25,2,0,430,4,2003,0,0,2003,0
26,3,0,2300,1,1990,0,0,1990,0
27,0,0,60,1,2005,1,5,2005,1
28,0,0,1200,10,2014,1,6,2014,3
29,3,2,2170,1,1990,0,0,1990,0
30,0,0,40,2,2014,1,10,2014,3
31,3,2,9800,7,2012,0,0,2012,0
32,0,0,2910,1,1990,1,45,1990,2
33,0,2,1320,5,2013,0,0,2013,0
34,2,0,2240,9,2009,0,0,2009,0
35,3,2,7660,10,2000,1,1,2000,1
36,0,2,540,6,2003,1,40,2003,1
37,2,0,4230,12,2014,0,0,2014,0
38,3,0,1090,4,2007,0,0,2007,0
39,0,0,260,10,2006,1,31,2006,2
40,0,0,180,1,1990,1,45,1990,2
41,3,2,1180,1,1990,1,31,1990,1
42,0,2,290,1,1990,1,40,1990,1
43,3,0,4880,1,1990,1,37,1990,1
44,0,0,540,6,2011,0,0,2011,0
45,3,0,9710,2,2014,0,0,2014,0
46,2,0,1200,9,2005,1,14,2005,1
47,0,2,270,4,2013,1,14,2013,1
48,0,0,1060,5,2012,0,0,2012,0
49,3,2,16107,9,2007,0,0,2007,0
50,3,0,6260,11,2009,0,0,2009,0
51,0,2,10570,7,2013,1,9,2013,1
52,3,2,450,4,2014,1,39,2014,1
53,0,2,16107,9,2013,0,0,2013,0
54,3,2,7170,8,2014,1,5,2014,2
55,0,0,720,11,2004,0,0,2004,0
56,3,2,6620,3,2012,1,10,2012,3
57,3,2,420,6,2014,0,0,2014,0
58,0,2,7340,5,2008,1,27,2008,1
59,0,2,2840,6,2007,1,14,2007,1
60,3,2,5540,10,2009,0,0,2009,0
61,0,2,350,12,2007,1,1,2007,1
62,0,0,2050,1,1990,0,0,1990,0
63,2,2,3700,6,2010,1,18,2010,2
64,3,2,16107,1,1990,1,14,1990,1
65,0,2,13840,5,2010,1,1,2010,1
66,3,0,7660,1,1990,1,37,1990,1
67,0,2,410,2,2006,0,0,2006,0
68,0,2,250,1,1990,1,35,1990,3
69,2,2,1130,1,1990,1,40,1990,1
70,2,2,4840,1,1990,0,0,1990,0
71,0,0,16107,8,2008,1,37,2008,3
72,0,0,2200,12,2009,1,13,2009,1
73,0,2,1650,9,2008,0,0,2008,0
74,0,0,330,1,1990,0,0,1990,0
75,3,2,16107,12,2013,0,0,2013,0
76,3,2,16107,3,2006,0,0,2006,0
77,3,2,1090,8,2009,1,10,2009,1
78,0,0,3510,11,2006,1,5,2006,2
79,0,0,3320,1,1990,0,0,1990,0
80,3,0,7910,1,1990,0,0,1990,0
81,0,0,2370,3,2011,1,40,2011,1
82,0,0,16107,4,2008,1,37,2008,1
83,0,0,2710,1,1990,0,0,1990,0
84,0,2,11810,8,2014,0,0,2014,0
